"Model","n_comp","n_cal","n_val","R2_cal","RMSE_cal","est","RPIQ_cal","R2_val","RMSE_val","est.1","RPIQ_val","Property"
"Base PLS",20,366,95,0.798179386226385,0.493745715868784,0.88968561016887,3.2253444411115,0.843349885422122,0.471432266330978,0.9170703341092,3.3939127935649,"pH"
"SavGol(p=1,w=11,m=1)+SNV",11,366,95,0.836519990480267,0.444646321682751,0.912866883998183,3.58149819832812,0.841941330075125,0.493366552179885,0.904478890244754,3.2430248725427,"pH"
"SNV PLS",20,366,95,0.802308887475537,0.488845354956363,0.89245385156941,3.25767644890919,0.800591204593306,0.558624434010385,0.891609686863288,2.86417833268327,"pH"
"MSC PLS",20,366,95,0.807390067747558,0.482345655833199,0.895271986453018,3.30157425643055,0.789404976929327,0.57100302270818,0.885358568955188,2.80208674274866,"pH"
