"Model","n_cal","n_val","R2_cal","RMSE_cal","est","RPIQ_cal","R2_val","RMSE_val","est.1","RPIQ_val","Property"
"Base RBF-SVM",366,95,0.818720359416032,0.479787800663851,0.890087007919445,3.2514374017879,0.807486168071437,0.556631649360928,0.866701338058471,3.0451017327995,"pH"
"SavGol(p=3,w=17,m=0)+SNV",366,95,0.936217161429879,0.284954202077354,0.96445646281155,5.47456394265251,0.858057423558261,0.475909067100915,0.911001114704174,3.56160476270267,"pH"
"SNV RBF-SVM",366,95,0.935462960522715,0.286757405180349,0.963981599285785,5.44013849971503,0.861550779217576,0.47143614908659,0.912511429878444,3.59539675369416,"pH"
"MSC RBF-SVM",366,95,0.815235138475722,0.485102572571115,0.887233726792821,3.21581473322594,0.840160229012231,0.505084009773589,0.893089265237121,3.35587737327066,"pH"
