"Model","n_comp","n_cal","n_val","R2_cal","RMSE_cal","est","RPIQ_cal","R2_val","RMSE_val","est.1","RPIQ_val","Property"
"Base PLS",15,366,95,0.813552481454435,6.27559059183835,0.894097207280007,2.54956083668183,0.867843625626138,6.09259117485672,0.897288236317372,2.29787287513662,"Sand"
"SavGol(p=2,w=19,m=0)+SNV",20,366,95,0.831453619874752,5.98224712897847,0.903263646667773,2.67458024635839,0.874313219606675,5.97542982385861,0.901374577001198,2.34292769100911,"Sand"
"SNV PLS",17,366,95,0.830655595859948,5.98690834364047,0.903897475512398,2.67249790403019,0.87019129222028,6.09543887231622,0.896524913924982,2.29679934345402,"Sand"
"MSC PLS",14,366,95,0.802686057968705,6.45176589176057,0.888252919549729,2.47994119260175,0.879756675953291,6.04031968725135,0.897275760898428,2.31775811958236,"Sand"
