"Model","n_cal","n_val","R2_cal","RMSE_cal","est","RPIQ_cal","R2_val","RMSE_val","est.1","RPIQ_val","Property"
"Base RBF-SVM",366,95,0.912828248439993,4.26943278916424,0.951131574450499,3.74757041277421,0.883805473334491,5.93290842141248,0.922832487940019,2.35971955162371,"Sand"
"SavGol(p=2,w=11,m=1)+SNV",366,95,0.994037244896712,1.32249349587859,0.99546977168112,12.0983581770816,0.90810320501203,5.88135784577624,0.919191481386574,2.38040268371942,"Sand"
"SNV RBF-SVM",366,95,0.956779958132517,3.01386516118696,0.976361010355388,5.30879755539517,0.881750178428554,5.69061680250746,0.932169739080575,2.46019025456628,"Sand"
"MSC RBF-SVM",366,95,0.966949687006789,2.64825755532235,0.981853269404357,6.04170843120749,0.884374988169822,5.68900638928445,0.93126098318512,2.46088667194499,"Sand"
